Movie,AverageVote
"The Naked Gun 33⅓: The Final Insult",6.3
"Bulworth",6.3
"Pride and Glory",6.3
"The Imaginarium of Doctor Parnassus",6.3
"Miss Potter",6.3
"Mumford",6.3
"For Your Eyes Only",6.3
"Kick-Ass 2",6.3
"Anonymous",6.3
"Mindhunters",6.3
"Flatliners",6.3
"Self/less",6.3
"Nothing to Lose",6.3
"The Sisterhood of the Traveling Pants",6.3
"The Girl Next Door",6.3
"Hot Rod",6.3
"Space Dogs",6.3
"Joy Ride",6.3
"The Santa Clause",6.3
"Summer of Sam",6.3
"My Fellow Americans",6.3
"Hardball",6.3
"The Beaver",6.3
"Home Alone 2: Lost in New York",6.3
"White Chicks",6.3
"Bad Moms",6.3
"The Tigger Movie",6.3
"Wild Things",6.3
"The Debt",6.3
"Street Kings",6.3
"Stick It",6.3
"Appaloosa",6.3
"Home for the Holidays",6.3
"Burnt",6.3
"Passchendaele",6.3
"Flash of Genius",6.3
"Butterfly on a Wheel",6.3
"The Exorcism of Emily Rose",6.3
"Diary of a Wimpy Kid: Rodrick Rules",6.3
"The Adventures of Elmo in Grouchland",6.3
"55 Days at Peking",6.3
"Good",6.3
"Slither",6.3
"When the Game Stands Tall",6.3
"The Craft",6.3
"De-Lovely",6.3
"Funny Games",6.3
"Magic Mike XXL",6.3
"Easy Virtue",6.3
"Mr. Turner",6.3
"The Lucky Ones",6.3
"Save the Last Dance",6.3
"Attack the Block",6.3
"Machete",6.3
"The Perfect Game",6.3
"Act of Valor",6.3
"How High",6.3
"Top Five",6.3
"Space Battleship Yamato",6.3
"Quartet",6.3
"An Ideal Husband",6.3
"Road House",6.3
"The Second Best Exotic Marigold Hotel",6.3
"Mo' Better Blues",6.3
"Seeking a Friend for the End of the World",6.3
"Bamboozled",6.3
"Imaginary Heroes",6.3
"The Runaways",6.3
"Child's Play",6.3
"Chasing Papi",6.3
"Crocodile Dundee",6.3
"Awake",6.3
"Clay Pigeons",6.3
"10th & Wolf",6.3
"Diamonds Are Forever",6.3
"The Man with the Golden Gun",6.3
"Flirting with Disaster",6.3
"Aimee & Jaguar",6.3
"The Four Seasons",6.3
"Mr. Nice Guy",6.3
"Julia",6.3
"A Shine of Rainbows",6.3
"Saw II",6.3
"Lights Out",6.3
"Oculus",6.3
"Saved!",6.3
"Made",6.3
"The Cottage",6.3
"The Awakening",6.3
"Lady in White",6.3
"Driving Lessons",6.3
"Life During Wartime",6.3
"Night Watch",6.3
"The Rules of Attraction",6.3
"The Witch",6.3
"The Original Kings of Comedy",6.3
"Phantasm II",6.3
"Barry Munday",6.3
"Escape from the Planet of the Apes",6.3
"Idiocracy",6.3
"We Are Your Friends",6.3
"Harsh Times",6.3
"Shortbus",6.3
"Subway",6.3
"24 7: Twenty Four Seven",6.3
"Sherrybaby",6.3
"The Torture Chamber of Dr. Sadism",6.3
"May",6.3
"I Spit on Your Grave",6.3
"Home Run",6.3
"Silent Running",6.3
"The Broken Hearts Club: A Romantic Comedy",6.3
"Safe Men",6.3
"The Blair Witch Project",6.3
"Osama",6.3
"The Toxic Avenger",6.3
"Trekkies",6.3
"Old Joy",6.3
"Compliance",6.3
"Lovely & Amazing",6.3
"Three",6.3
"Sound of My Voice",6.3
"Cheap Thrills",6.3
"The Brothers McMullen",6.3
"Down Terrace",6.3
"My Date with Drew",6.3
"Men in Black 3",6.2
"Robin Hood",6.2
"Prince of Persia: The Sands of Time",6.2
"Tomorrowland",6.2
"The Chronicles of Narnia: The Voyage of the Dawn Treader",6.2
"Hancock",6.2
"Madagascar: Escape 2 Africa",6.2
"X-Men Origins: Wolverine",6.2
"War of the Worlds",6.2
"Salt",6.2
"Dinosaur",6.2
"How the Grinch Stole Christmas",6.2
"The Day After Tomorrow",6.2
"The Perfect Storm",6.2
"Insurgent",6.2
"The Taking of Pelham 1 2 3",6.2
"Ice Age: Continental Drift",6.2
"The Interpreter",6.2
"Air Force One",6.2
"It's Complicated",6.2
"The Hangover Part II",6.2
"The Longest Yard",6.2
"The Manchurian Candidate",6.2
"2 Fast 2 Furious",6.2
"The Lost World: Jurassic Park",6.2
"Bandits",6.2
"Hostage",6.2
"Talladega Nights: The Ballad of Ricky Bobby",6.2
"The Village",6.2
"Olympus Has Fallen",6.2
"Dracula Untold",6.2
"Ted 2",6.2
"Due Date",6.2
"Ladder 49",6.2
"Contagion",6.2
"Gangster Squad",6.2
"Edge of Darkness",6.2
"The Mortal Instruments: City of Bones",6.2
"Goosebumps",6.2
"Shanghai Noon",6.2
"Alien³",6.2
"Instinct",6.2
"Muppets Most Wanted",6.2
"Blade II",6.2
"Central Intelligence",6.2
"Curious George",6.2
"Gremlins 2: The New Batch",6.2
"Ninja Assassin",6.2
"Basic",6.2
"The Messenger: The Story of Joan of Arc",6.2
"The Adventures of Ford Fairlane",6.2
"Courage Under Fire",6.2
"Yours, Mine and Ours",6.2
"Savages",6.2
"16 Blocks",6.2
"Man on a Ledge",6.2
"Double Jeopardy",6.2
"He's Just Not That Into You",6.2
"Vantage Point",6.2
"The Other Woman",6.2
"Small Soldiers",6.2
"The Living Daylights",6.2
"Music and Lyrics",6.2
"Hackers",6.2
"Enough",6.2
"Riddick",6.2
"City of Ember",6.2
"Ghosts of Mississippi",6.2
"Austin Powers: The Spy Who Shagged Me",6.2
"Star Trek: The Motion Picture",6.2
"Underworld: Rise of the Lycans",6.2
"Premium Rush",6.2
"Femme Fatale",6.2
"Phenomenon",6.2
"Transporter 2",6.2
"Repo Men",6.2
"Arachnophobia",6.2
"Vacation",6.2
"DodgeBall: A True Underdog Story",6.2
"Black Rain",6.2
"Drag Me to Hell",6.2
"30 Days of Night",6.2
"One True Thing",6.2
"Once Upon a Time in Mexico",6.2
"Taking Woodstock",6.2
"How to Lose Friends & Alienate People",6.2
"Octopussy",6.2
"Knocked Up",6.2
"Rendition",6.2
"Kiss the Girls",6.2
"The 40 Year Old Virgin",6.2
"A Walk Among the Tombstones",6.2
"Red Eye",6.2
"Don Juan DeMarco",6.2
"The Losers",6.2
"Lifeforce",6.2
"The Conspirator",6.2
"Brokedown Palace",6.2
"Without Limits",6.2
"Ironclad",6.2
"The Whole Nine Yards",6.2
"Delivery Man",6.2
"I Heart Huckabees",6.2
"Before I Go to Sleep",6.2
"Drumline",6.2
"Paint Your Wagon",6.2
"Secret in Their Eyes",6.2
"What's Your Number?",6.2
"Be Kind Rewind",6.2
"A Dangerous Method",6.2
"Rapa Nui",6.2
"The Crazies",6.2
"Take Me Home Tonight",6.2
"Neighbors",6.2
"The Family Stone",6.2
"The Tailor of Panama",6.2
"Midnight Special",6.2
"Anything Else",6.2
"Brooklyn's Finest",6.2
"The Immigrant",6.2
"Wasabi",6.2
"The Faculty",6.2
"The Last House on the Left",6.2
"The Wedding Date",6.2
"New York Stories",6.2
"Good Deeds",6.2
"The Iron Lady",6.2
"A Perfect Getaway",6.2
"A Walk on the Moon",6.2
"The Shallows",6.2
"The Astronaut Farmer",6.2
"Oscar and Lucinda",6.2
"Barbershop",6.2
"Harold & Kumar Escape from Guantanamo Bay",6.2
"Yentl",6.2
"Welcome to Collinwood",6.2
"High School Musical 3: Senior Year",6.2
"Copying Beethoven",6.2
"Insidious: Chapter 3",6.2
"Twilight Zone: The Movie",6.2
"Pete's Dragon",6.2
"The Matador",6.2
"Very Bad Things",6.2
"Run, Fatboy, Run",6.2
"Cecil B. Demented",6.2
"Elsa & Fred",6.2
"Heavy Metal",6.2
"Gentlemen Broncos",6.2
"Code 46",6.2
"Albert Nobbs",6.2
"In Too Deep",6.2
"Factory Girl",6.2
"March or Die",6.2
"Gerry",6.2
"The Adventures of Huck Finn",6.2
"Duel in the Sun",6.2
"School Daze",6.2
"The Wackness",6.2
"The Greatest",6.2
"Bend It Like Beckham",6.2
"Iris",6.2
"Wonderland",6.2
"My Big Fat Greek Wedding",6.2
"A Farewell to Arms",6.2
"Digimon: The Movie",6.2
"Lovely, Still",6.2
"Redacted",6.2
"A Cock and Bull Story",6.2
"State Fair",6.2
"Mozart's Sister",6.2
"You Kill Me",6.2
"Stake Land",6.2
"Another Happy Day",6.2
"A Lonely Place to Die",6.2
"Major Dundee",6.2
"Harper",6.2
"August",6.2
"Class of 1984",6.2
"Beneath the Planet of the Apes",6.2
"The Last Sin Eater",6.2
"The Crime of Padre Amaro",6.2
"Session 9",6.2
"The Blue Room",6.2
"Waiting...",6.2
"Sands of Iwo Jima",6.2
"Orgazmo",6.2
"The Perfect Host",6.2
"Alone With Her",6.2
"Heli",6.2
"To Save A Life",6.2
"Monsters",6.2
"Conversations with Other Women",6.2
"Tumbleweeds",6.2
"Bizarre",6.2
"The Puffy Chair",6.2
"Pink Flamingos",6.2
"John Carter",6.1
"Quantum of Solace",6.1
"Transformers: Dark of the Moon",6.1
"Rush Hour 3",6.1
"The Twilight Saga: Breaking Dawn - Part 2",6.1
"The Incredible Hulk",6.1
"Turbo",6.1
"Night at the Museum: Secret of the Tomb",6.1
"300: Rise of an Empire",6.1
"Gone in Sixty Seconds",6.1
"The Other Guys",6.1
"The Expendables 2",6.1
"The Expendables 3",6.1
"K-19: The Widowmaker",6.1
"Twister",6.1
"Open Season",6.1
"Last Action Hero",6.1
"The Fast and the Furious: Tokyo Drift",6.1
"Swordfish",6.1
"Mars Attacks!",6.1
"The Postman",6.1
"Soldier",6.1
"Underworld: Awakening",6.1
"Killer Elite",6.1
"Need for Speed",6.1
"What Women Want",6.1
"Cliffhanger",6.1
"Primary Colors",6.1
"Zathura: A Space Adventure",6.1
"Astro Boy",6.1
"U-571",6.1
"Meet the Fockers",6.1
"The General's Daughter",6.1
"A Civil Action",6.1
"The Jackal",6.1
"Star Trek: Nemesis",6.1
"Dragonfly",6.1
"The Internship",6.1
"Flightplan",6.1
"Tango & Cash",6.1
"Gods and Generals",6.1
"Elizabethtown",6.1
"From Paris with Love",6.1
"Me, Myself & Irene",6.1
"The Replacements",6.1
"American Reunion",6.1
"Resident Evil: Apocalypse",6.1
"Bridget Jones: The Edge of Reason",6.1
"Out of Time",6.1
"Blood Work",6.1
"Child 44",6.1
"Taken 3",6.1
"Taken 2",6.1
"Miss Congeniality",6.1
"Resident Evil: Extinction",6.1
"The River Wild",6.1
"Cellular",6.1
"The Producers",6.1
"High Crimes",6.1
"The Mothman Prophecies",6.1
"The Interview",6.1
"Ride Along 2",6.1
"17 Again",6.1
"Horrible Bosses 2",6.1
"Scream 4",6.1
"8MM",6.1
"Morning Glory",6.1
"Impostor",6.1
"Blue Streak",6.1
"Flash Gordon",6.1
"Hoffa",6.1
"The Punisher",6.1
"Big Daddy",6.1
"Ace Ventura: When Nature Calls",6.1
"27 Dresses",6.1
"Chasing Liberty",6.1
"Along Came a Spider",6.1
"Zoolander",6.1
"No Reservations",6.1
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",6.1
"Case 39",6.1
"Pain & Gain",6.1
"The Raven",6.1
"W.",6.1
"The Bodyguard",6.1
"Ride Along",6.1
"No Strings Attached",6.1
"Hide and Seek",6.1
"Contraband",6.1
"Mr. Bean's Holiday",6.1
"Stop-Loss",6.1
"Cirque du Soleil: Worlds Away",6.1
"Scream 2",6.1
"Return to Me",6.1
"Zack and Miri Make a Porno",6.1
"Faster",6.1
"Harley Davidson and the Marlboro Man",6.1
"Derailed",6.1
"The Little Vampire",6.1
"Beverly Hills Cop II",6.1
"Why Did I Get Married Too?",6.1
"Return to Never Land",6.1
"The Black Hole",6.1
"One Night with the King",6.1
"Undisputed",6.1
"CJ7",6.1
"Hands of Stone",6.1
"The Frozen Ground",6.1
"A Cinderella Story",6.1
"Kansas City",6.1
"Legally Blonde",6.1
"The Hills Have Eyes",6.1
"Escobar: Paradise Lost",6.1
"Why Did I Get Married?",6.1
"The Woman in Black",6.1
"Because of Winn-Dixie",6.1
"Ramona and Beezus",6.1
"Flicka",6.1
"Idle Hands",6.1
"Stomp the Yard",6.1
"New York, New York",6.1
"Margaret",6.1
"The Big Hit",6.1
"Birthday Girl",6.1
"Paper Towns",6.1
"Just Wright",6.1
"Rachel Getting Married",6.1
"Arbitrage",6.1
"Married Life",6.1
"The Life Before Her Eyes",6.1
"Kabhi Alvida Naa Kehna",6.1
"Saw III",6.1
"The Purge: Election Year",6.1
"Jeepers Creepers",6.1
"Can't Hardly Wait",6.1
"Roll Bounce",6.1
"Kung Pow: Enter the Fist",6.1
"End of the Spear",6.1
"Jeff, Who Lives at Home",6.1
"The Joneses",6.1
"Fifty Dead Men Walking",6.1
"Plastic",6.1
"Hamlet 2",6.1
"Shipwrecked",6.1
"Splash",6.1
"That Awkward Moment",6.1
"The Good Girl",6.1
"The Rocket: The Legend of Rocket Richard",6.1
"Flashdance",6.1
"Magic Mike",6.1
"Cyrus",6.1
"Auto Focus",6.1
"High School Musical 2",6.1
"Shade",6.1
"200 Cigarettes",6.1
"Jackass: The Movie",6.1
"The Apostle",6.1
"As Above, So Below",6.1
"Eve's Bayou",6.1
"Christmas Eve",6.1
"Saving Private Perez",6.1
"High School Musical",6.1
"Porky's",6.1
"Topaz",6.1
"Thumbsucker",6.1
"Adore",6.1
"Hell's Angels",6.1
"Feast",6.1
"The Eclipse",6.1
"Griff the Invisible",6.1
"The Other End of the Line",6.1
"Anatomy",6.1
"House of D",6.1
"London",6.1
"Grave Encounters",6.1
"A Funny Thing Happened on the Way to the Forum",6.1
"Conquest of the Planet of the Apes",6.1
"Killing Zoe",6.1
"Batman",6.1
"Eddie: The Sleepwalking Cannibal",6.1
"Airborne",6.1
"Lake Mungo",6.1
"Tom Jones",6.1
"The Poker House",6.1
"The Quiet",6.1
"Dead Snow",6.1
"Benji",6.1
"42nd Street",6.1
"When the Cat's Away",6.1
"Good Dick",6.1
"She's Gotta Have It",6.1
"Transformers: Revenge of the Fallen",6
"Monsters vs Aliens",6
"Shrek Forever After",6
"Shrek the Third",6
"Flushed Away",6
"Men in Black II",6
"The World Is Not Enough",6
"The BFG",6
"The Bourne Legacy",6
"The Huntsman: Winter's War",6
"San Andreas",6
"Tomorrow Never Dies",6
"The Tourist",6
"The Mummy Returns",6
"Percy Jackson & the Olympians: The Lightning Thief",6
"Click",6
"The Expendables",6
"Get Smart",6
"Robots",6
"Arthur and the Invisibles",6
"Grown Ups",6
"Wolf",6
"The Siege",6
"Rock of Ages",6
"Entrapment",6
"The Kid",6
"Annie",6
"Death Race",6
"Proof of Life",6
"Antz",6
"Reign of Fire",6
"Mercury Rising",6
"Winter's Tale",6
"Inkheart",6
"The Monkey King 2",6
"After the Sunset",6
"Walking Tall",6
"American Wedding",6
"Casper",6
"Bowfinger",6
"The Hunted",6
"Anchorman 2: The Legend Continues",6
"Shanghai Knights",6
"Don't Say a Word",6
"G.I. Jane",6
"Murder by Numbers",6
"Assassins",6
"Hannibal Rising",6
"The Host",6
"The International",6
"Domino",6
"Rat Race",6
"Kate & Leopold",6
"The Princess Diaries 2: Royal Engagement",6
"Johnny English",6
"Deep Rising",6
"Johnny English Reborn",6
"28 Days",6
"Here Comes the Boom",6
"Cheaper by the Dozen",6
"Behind Enemy Lines",6
"Predators",6
"Made of Honor",6
"City Hall",6
"A Thousand Words",6
"Grudge Match",6
"Sweet Home Alabama",6
"Rock Star",6
"Hot Tub Time Machine",6
"The Cell",6
"TMNT",6
"The Ladykillers",6
"J. Edgar",6
"Mirrors",6
"Nanny McPhee and the Big Bang",6
"Wimbledon",6
"Lions for Lambs",6
"Stigmata",6
"Takers",6
"Going the Distance",6
"American Pie 2",6
"Extraordinary Measures",6
"Hannah Montana: The Movie",6
"Rugrats in Paris: The Movie",6
"Babe",6
"A View to a Kill",6
"Assault on Precinct 13",6
"The Replacement Killers",6
"Fright Night",6
"The Good Thief",6
"3 Days to Kill",6
"Mystery, Alaska",6
"The Sisterhood of the Traveling Pants 2",6
"Freaky Friday",6
"Snow White: A Tale of Terror",6
"Romeo Must Die",6
"Blood Ties",6
"War",6
"The 33",6
"The Bad Lieutenant: Port of Call - New Orleans",6
"Love Ranch",6
"Someone Like You...",6
"The Game Plan",6
"The Informant!",6
"Our Kind of Traitor",6
"Diary of a Wimpy Kid: Dog Days",6
"Underdogs",6
"How Stella Got Her Groove Back",6
"A Very Harold & Kumar Christmas",6
"You Again",6
"Daybreakers",6
"Monte Carlo",6
"The Weather Man",6
"The Yards",6
"The Tempest",6
"I Can Do Bad All By Myself",6
"Sex Drive",6
"The Fall of the Roman Empire",6
"The Amityville Horror",6
"Land of the Dead",6
"The Invention of Lying",6
"Honey",6
"Red Lights",6
"Beastly",6
"ATL",6
"Sydney White",6
"Varsity Blues",6
"Private Benjamin",6
"Mama",6
"Bad Grandpa",6
"Keanu",6
"The November Man",6
"Raise Your Voice",6
"Promised Land",6
"Jakob the Liar",6
"Ong Bak 2",6
"The Midnight Meat Train",6
"The Caveman's Valentine",6
"Under the Skin",6
"About Last Night",6
"The Killer Inside Me",6
"Cat People",6
"Casino Jack",6
"Celebrity",6
"Last Orders",6
"Heaven is for Real",6
"Saw VI",6
"Romance & Cigarettes",6
"Madea's Family Reunion",6
"Friday After Next",6
"A Low Down Dirty Shame",6
"Wrong Turn",6
"The Corruptor",6
"My Blueberry Nights",6
"Edmond",6
"The Lost City",6
"Kites",6
"PCU",6
"Gracie",6
"Two Evil Eyes",6
"Ta Ra Rum Pum",6
"Jumping the Broom",6
"House of 1000 Corpses",6
"Somewhere",6
"Ca$h",6
"Tracker",6
"Novocaine",6
"Sunshine State",6
"Grabbers",6
"The Egyptian",6
"The Beastmaster",6
"Everything Must Go",6
"Zero Effect",6
"The Visit",6
"Mean Machine",6
"Psycho Beach Party",6
"The Good Heart",6
"Choke",6
"The Purge",6
"Please Give",6
"Donovan's Reef",6
"Sleep Dealer",6
"Circle",6
"My Summer of Love",6
"Grace Unplugged",6
"Friday the 13th Part 2",6
"Grand Theft Parsons",6
"Next Stop Wonderland",6
"The House of the Devil",6
"Kill List",6
"The Country Doctor",6
"Drinking Buddies",6
"Maniac",6
"The Dirties",6
"Rampage",6
"Spider-Man 3",5.9
"The Lone Ranger",5.9
"Terminator Salvation",5.9
"Suicide Squad",5.9
"Waterworld",5.9
"47 Ronin",5.9
"Terminator 3: Rise of the Machines",5.9
"Night at the Museum: Battle of the Smithsonian",5.9
"Pan",5.9
"Fun with Dick and Jane",5.9
"Final Fantasy: The Spirits Within",5.9
"Mission: Impossible II",5.9
"Jason Bourne",5.9
"Knight and Day",5.9
"Allegiant",5.9
"Surf's Up",5.9
"Transcendence",5.9
"Percy Jackson: Sea of Monsters",5.9
"The Saint",5.9
"The Devil's Own",5.9
"Happy Feet",5.9
"Jumper",5.9
"Deep Impact",5.9
"Bedtime Stories",5.9
"Mighty Joe Young",5.9
"The Legend of Zorro",5.9
"Surrogates",5.9
"The Secret Life of Pets",5.9
"Vertical Limit",5.9
"First Knight",5.9
"Sucker Punch",5.9
"The Angry Birds Movie",5.9
"Hart's War",5.9
"Osmosis Jones",5.9
"Legends of Oz: Dorothy's Return",5.9
"The Sum of All Fears",5.9
"World Trade Center",5.9
"The Dictator",5.9
"This Means War",5.9
"Austin Powers in Goldmember",5.9
"Dragon Blade",5.9
"Blades of Glory",5.9
"Two Weeks Notice",5.9
"Days of Thunder",5.9
"Paycheck",5.9
"Up Close & Personal",5.9
"Jack Ryan: Shadow Recruit",5.9
"Alien: Resurrection",5.9
"Righteous Kill",5.9
"Red Tails",5.9
"Date Night",5.9
"Disclosure",5.9
"Evita",5.9
"Beloved",5.9
"The Change-Up",5.9
"Knowing",5.9
"I Am Number Four",5.9
"Raising Helen",5.9
"The Story of Us",5.9
"Mad City",5.9
"Death to Smoochy",5.9
"Dick Tracy",5.9
"Changing Lanes",5.9
"Tin Cup",5.9
"The Indian in the Cupboard",5.9
"Licence to Kill",5.9
"Get Hard",5.9
"Get Him to the Greek",5.9
"Shall We Dance?",5.9
"Final Destination 5",5.9
"Fever Pitch",5.9
"Renaissance Man",5.9
"At First Sight",5.9
"The Deep End of the Ocean",5.9
"Duplex",5.9
"The Last Shot",5.9
"How to Be Single",5.9
"There Be Dragons",5.9
"Trainwreck",5.9
"Something Borrowed",5.9
"Predator 2",5.9
"Untraceable",5.9
"Ella Enchanted",5.9
"The Good German",5.9
"Moonraker",5.9
"The Prince of Tides",5.9
"Bride Wars",5.9
"The Prince & Me",5.9
"Deliver Us from Evil",5.9
"Dead Man Down",5.9
"Little Nicholas",5.9
"Keeping the Faith",5.9
"The Newton Boys",5.9
"The 51st State",5.9
"Flawless",5.9
"The Statement",5.9
"Final Destination 2",5.9
"In Good Company",5.9
"Money Talks",5.9
"Ice Princess",5.9
"Where the Truth Lies",5.9
"Nurse Betty",5.9
"The Men Who Stare at Goats",5.9
"The Wiz",5.9
"The Waterboy",5.9
"Anywhere But Here",5.9
"Cheri",5.9
"Son of God",5.9
"The Libertine",5.9
"Mad Money",5.9
"The Best Little Whorehouse in Texas",5.9
"Jaws 2",5.9
"Madea's Witness Protection",5.9
"Lakeview Terrace",5.9
"Bill & Ted's Bogus Journey",5.9
"She's Out of My League",5.9
"Crank: High Voltage",5.9
"Battle of the Year",5.9
"Birth",5.9
"All Good Things",5.9
"The Switch",5.9
"Firestorm",5.9
"Peggy Sue Got Married",5.9
"Youth in Revolt",5.9
"The Wraith",5.9
"Hoodwinked!",5.9
"Hitman",5.9
"A Night at the Roxbury",5.9
"Road Trip",5.9
"The Texas Chainsaw Massacre: The Beginning",5.9
"Diary of a Wimpy Kid",5.9
"Krampus",5.9
"Country Strong",5.9
"Firestarter",5.9
"VeggieTales: The Pirates Who Don't Do Anything",5.9
"Knockaround Guys",5.9
"Centurion",5.9
"Resurrecting the Champ",5.9
"Chloe",5.9
"Womb",5.9
"For Your Consideration",5.9
"Raising Cain",5.9
"The Molly Maguires",5.9
"Saw V",5.9
"LOL",5.9
"Saw IV",5.9
"Mad Max Beyond Thunderdome",5.9
"Cedar Rapids",5.9
"The Collection",5.9
"Coriolanus",5.9
"The I Inside",5.9
"The Boondock Saints II: All Saints Day",5.9
"Down in the Valley",5.9
"The Singing Detective",5.9
"The Blood of Heroes",5.9
"The Extra Man",5.9
"National Lampoon’s Van Wilder",5.9
"Mystic Pizza",5.9
"Come Early Morning",5.9
"Don Jon",5.9
"Miss Julie",5.9
"Paranormal Activity 3",5.9
"Our Idiot Brother",5.9
"Halloween 4: The Return of Michael Myers",5.9
"Sea Rex 3D: Journey to a Prehistoric World",5.9
"Party Monster",5.9
"The Texas Chainsaw Massacre 2",5.9
"Out of the Blue",5.9
"Cargo",5.9
"3 Strikes",5.9
"Red State",5.9
"Creepshow 2",5.9
"Pokémon: Spell of the Unknown",5.9
"Jawbreaker",5.9
"Friday the 13th: The Final Chapter",5.9
"Witchboard",5.9
"Saint John of Las Vegas",5.9
"Return of the Living Dead 3",5.9
"Slacker Uprising",5.9
"Kissing Jessica Stein",5.9
"My Name Is Bruce",5.9
"Incident at Loch Ness",5.9
"The Hebrew Hammer",5.9
"Filly Brown",5.9
"Godzilla 2000",5.9
"All the Real Girls",5.9
"Rize",5.9
"Good Kill",5.9
"Poultrygeist: Night of the Chicken Dead",5.9
"Paranormal Activity",5.9
"Death Race 2000",5.9
"A Dog's Breakfast",5.9
"The Golden Compass",5.8
"Transformers: Age of Extinction",5.8
"Cars 2",5.8
"Snow White and the Huntsman",5.8
"The Sorcerer's Apprentice",5.8
"Terminator Genisys",5.8
"Die Another Day",5.8
"Happy Feet Two",5.8
"Windtalkers",5.8
"Teenage Mutant Ninja Turtles",5.8
"Teenage Mutant Ninja Turtles: Out of the Shadows",5.8
"Stuart Little",5.8
"The Alamo",5.8
"Alvin and the Chipmunks: The Road Chip",5.8
"Tower Heist",5.8
"Charlotte's Web",5.8
"Grown Ups 2",5.8
"The Time Machine",5.8
"Daylight",5.8
"Journey 2: The Mysterious Island",5.8
"Shark Tale",5.8
"Spanglish",5.8
"Carriers",5.8
"Snake Eyes",5.8
"Sphere",5.8
"xXx",5.8
"The SpongeBob Movie: Sponge Out of Water",5.8
"S.W.A.T.",5.8
"The Monuments Men",5.8
"Wall Street: Money Never Sleeps",5.8
"The Twilight Saga: Eclipse",5.8
"3000 Miles to Graceland",5.8
"Eat Pray Love",5.8
"The Tale of Despereaux",5.8
"London Has Fallen",5.8
"The Sentinel",5.8
"Intolerable Cruelty",5.8
"The Relic",5.8
"Resident Evil: Afterlife",5.8
"The Pacifier",5.8
"Executive Decision",5.8
"Daddy's Home",5.8
"Into the Storm",5.8
"The Peacemaker",5.8
"Hereafter",5.8
"Into the Blue",5.8
"Dream House",5.8
"Baby's Day Out",5.8
"Scary Movie 3",5.8
"Journey to the Center of the Earth",5.8
"Coyote Ugly",5.8
"All the Pretty Horses",5.8
"Along Came Polly",5.8
"The Mexican",5.8
"Legal Eagles",5.8
"Gothika",5.8
"Medicine Man",5.8
"A Million Ways to Die in the West",5.8
"Because I Said So",5.8
"Switchback",5.8
"What to Expect When You're Expecting",5.8
"Twilight",5.8
"Never Say Never Again",5.8
"A Man Apart",5.8
"The Rite",5.8
"Sky High",5.8
"Must Love Dogs",5.8
"Jersey Girl",5.8
"Krull",5.8
"Bandidas",5.8
"Doomsday",5.8
"Hope Springs",5.8
"Baby Mama",5.8
"Hope Floats",5.8
"Message in a Bottle",5.8
"Carrie",5.8
"Sanctum",5.8
"Antitrust",5.8
"Grace of Monaco",5.8
"The Borrowers",5.8
"Just My Luck",5.8
"Our Brand Is Crisis",5.8
"Kindergarten Cop",5.8
"Original Sin",5.8
"Freddy vs. Jason",5.8
"Teenage Mutant Ninja Turtles II: The Secret of the Ooze",5.8
"Final Destination 3",5.8
"The Wild Thornberrys Movie",5.8
"What a Girl Wants",5.8
"Cradle 2 the Grave",5.8
"The Possession",5.8
"Muppets from Space",5.8
"Forsaken",5.8
"Swing Vote",5.8
"Premonition",5.8
"Man of the Year",5.8
"The American",5.8
"Eye for an Eye",5.8
"Nancy Drew",5.8
"Vampires",5.8
"Paparazzi",5.8
"Lockout",5.8
"Willard",5.8
"The Game of Their Lives",5.8
"The Visitors II: The Corridors of Time",5.8
"Won't Back Down",5.8
"Out of Inferno",5.8
"Conan the Destroyer",5.8
"Nine 1/2 Weeks",5.8
"Black Nativity",5.8
"Beerfest",5.8
"Saw: The Final Chapter",5.8
"Fur: An Imaginary Portrait of Diane Arbus",5.8
"Three Men and a Baby",5.8
"Snitch",5.8
"The Skulls",5.8
"Killing Them Softly",5.8
"You Will Meet a Tall Dark Stranger",5.8
"Khumba",5.8
"All About the Benjamins",5.8
"Tea with Mussolini",5.8
"Wild Grass",5.8
"A Nightmare on Elm Street 4: The Dream Master",5.8
"Child's Play 2",5.8
"In the Land of Blood and Honey",5.8
"Operation Chromite",5.8
"Solitary Man",5.8
"Aquamarine",5.8
"Running with Scissors",5.8
"5 Days of War",5.8
"Out Cold",5.8
"O",5.8
"In the Land of Women",5.8
"Bring It On",5.8
"The Grudge",5.8
"The Boy",5.8
"Devil",5.8
"Sparkle",5.8
"The Fourth Kind",5.8
"While We're Young",5.8
"Cinco de Mayo: La Batalla",5.8
"Breakin' All the Rules",5.8
"Barbecue",5.8
"Veronika Decides to Die",5.8
"Drive Me Crazy",5.8
"Brooklyn Rules",5.8
"The Death and Life of Bobby Z",5.8
"The Hotel New Hampshire",5.8
"Warlock",5.8
"Dom Hemingway",5.8
"Criminal Activities",5.8
"Remember Me, My Love",5.8
"April Fool's Day",5.8
"The Oh in Ohio",5.8
"Dead Like Me: Life After Death",5.8
"The Blue Lagoon",5.8
"What the #$*! Do We (K)now!?",5.8
"Nothing",5.8
"Real Women Have Curves",5.8
"Love's Abiding Joy",5.8
"Never Back Down 2: The Beatdown",5.8
"Six-String Samurai",5.8
"The Marine 4: Moving Target",5.8
"One to Another",5.8
"Abandoned",5.8
"Blue Like Jazz",5.8
